#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5090	Complement system in neuronal development and plasticity	6	105	1.05	0.73	0.0014	9606.ENSP00000286186,9606.ENSP00000296280,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000380948,9606.ENSP00000496959	CASP10,MASP1,BID,CASP8,ITGB2,ITGAM
WP5115	Network map of SARS-CoV-2 signaling pathway	8	218	0.86	0.67	0.0014	9606.ENSP00000296026,9606.ENSP00000302935,9606.ENSP00000318822,9606.ENSP00000338171,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000385675,9606.ENSP00000483825	CXCL3,IL16,BID,SKAP1,CASP8,DDX58,IL6,IKBKG
WP3630	NAD metabolism, sirtuins and aging	3	11	1.73	0.75	0.0026	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000368880	NAMPT,PARP1,FOXO1
WP5218	Extrafollicular and follicular B cell activation by SARS-CoV-2	5	72	1.14	0.69	0.0026	9606.ENSP00000303507,9606.ENSP00000360181,9606.ENSP00000368880,9606.ENSP00000380948,9606.ENSP00000385675	BCR,SH2D1A,FOXO1,ITGB2,IL6
WP5095	Overview of proinflammatory and profibrotic mediators	6	126	0.97	0.64	0.0029	9606.ENSP00000225474,9606.ENSP00000244241,9606.ENSP00000296026,9606.ENSP00000296545,9606.ENSP00000367832,9606.ENSP00000385675	CSF3,IL17C,CXCL3,IL15,CCL7,IL6
WP2516	ATM signaling pathway	4	40	1.29	0.68	0.0035	9606.ENSP00000265433,9606.ENSP00000318822,9606.ENSP00000394560,9606.ENSP00000483825	NBN,BID,MAPK9,IKBKG
WP314	Fas ligand pathway and stress induction of heat shock proteins	4	43	1.26	0.67	0.0035	9606.ENSP00000248553,9606.ENSP00000286186,9606.ENSP00000351273,9606.ENSP00000355759	HSPB1,CASP10,CASP8,PARP1
WP3888	VEGFA-VEGFR2 signaling	10	428	0.66	0.54	0.0035	9606.ENSP00000248553,9606.ENSP00000267257,9606.ENSP00000318176,9606.ENSP00000338934,9606.ENSP00000351908,9606.ENSP00000356505,9606.ENSP00000368880,9606.ENSP00000389377,9606.ENSP00000394560,9606.ENSP00000395574	HSPB1,PXN,PRKRA,EZR,MAP3K5,NCF2,FOXO1,NFATC1,MAPK9,ELOA
WP4016	DNA IR-damage and cellular response via ATR	5	81	1.08	0.65	0.0035	9606.ENSP00000265433,9606.ENSP00000278935,9606.ENSP00000305480,9606.ENSP00000355759,9606.ENSP00000483825	NBN,CEP164,FEN1,PARP1,IKBKG
WP4630	Measles virus infection	6	135	0.94	0.62	0.0035	9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000385675,9606.ENSP00000394560,9606.ENSP00000483825	BID,CASP8,DDX58,IL6,MAPK9,IKBKG
WP5087	Malignant pleural mesothelioma	10	434	0.66	0.53	0.0035	9606.ENSP00000225474,9606.ENSP00000351908,9606.ENSP00000368710,9606.ENSP00000368880,9606.ENSP00000380948,9606.ENSP00000385334,9606.ENSP00000385675,9606.ENSP00000386896,9606.ENSP00000394560,9606.ENSP00000433138	CSF3,MAP3K5,RASSF2,FOXO1,ITGB2,MAD1L1,IL6,ITGA6,MAPK9,CASP1
WP1772	Apoptosis modulation and signaling	5	89	1.04	0.62	0.0041	9606.ENSP00000286186,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000351908,9606.ENSP00000433138	CASP10,BID,CASP8,MAP3K5,CASP1
WP69	T-cell receptor signaling pathway	5	90	1.04	0.62	0.0041	9606.ENSP00000338171,9606.ENSP00000385675,9606.ENSP00000389377,9606.ENSP00000394560,9606.ENSP00000483825	SKAP1,IL6,NFATC1,MAPK9,IKBKG
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	8	301	0.72	0.52	0.0056	9606.ENSP00000225474,9606.ENSP00000302150,9606.ENSP00000327290,9606.ENSP00000356047,9606.ENSP00000368880,9606.ENSP00000380948,9606.ENSP00000386896,9606.ENSP00000483825	CSF3,PRL,ITGA11,PFKFB2,FOXO1,ITGB2,ITGA6,IKBKG
WP185	Integrin-mediated cell adhesion	5	99	1.0	0.58	0.0057	9606.ENSP00000267257,9606.ENSP00000327290,9606.ENSP00000380948,9606.ENSP00000386896,9606.ENSP00000496959	PXN,ITGA11,ITGB2,ITGA6,ITGAM
WP4482	Vitamin D in inflammatory diseases	3	21	1.45	0.61	0.0070	9606.ENSP00000385675,9606.ENSP00000389377,9606.ENSP00000483825	IL6,NFATC1,IKBKG
WP3645	NAD+ biosynthetic pathways	3	22	1.43	0.6	0.0077	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410	NAMPT,PARP1,NMNAT1
WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	3	22	1.43	0.6	0.0077	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000385675	NAMPT,PARP1,IL6
WP3945	TYROBP causal network in microglia	4	59	1.13	0.57	0.0078	9606.ENSP00000356505,9606.ENSP00000365411,9606.ENSP00000380948,9606.ENSP00000496959	NCF2,APBB1IP,ITGB2,ITGAM
WP530	Cytokines and inflammatory response	3	26	1.36	0.56	0.0108	9606.ENSP00000225474,9606.ENSP00000296545,9606.ENSP00000385675	CSF3,IL15,IL6
WP2324	AGE/RAGE pathway	4	66	1.08	0.53	0.0110	9606.ENSP00000338934,9606.ENSP00000351273,9606.ENSP00000368880,9606.ENSP00000394560	EZR,CASP8,FOXO1,MAPK9
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	4	66	1.08	0.53	0.0110	9606.ENSP00000296026,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000385675	CXCL3,CASP8,DDX58,IL6
WP3303	RAC1/PAK1/p38/MMP2 pathway	4	68	1.06	0.52	0.0115	9606.ENSP00000267257,9606.ENSP00000368880,9606.ENSP00000394560,9606.ENSP00000483825	PXN,FOXO1,MAPK9,IKBKG
WP4752	Base excision repair	3	31	1.28	0.51	0.0153	9606.ENSP00000216714,9606.ENSP00000305480,9606.ENSP00000355759	APEX1,FEN1,PARP1
WP2447	Amyotrophic lateral sclerosis (ALS)	3	37	1.2	0.45	0.0241	9606.ENSP00000318822,9606.ENSP00000351908,9606.ENSP00000433138	BID,MAP3K5,CASP1
WP4329	miRNA role in immune response in sepsis	3	37	1.2	0.45	0.0241	9606.ENSP00000216341,9606.ENSP00000385675,9606.ENSP00000483825	GZMB,IL6,IKBKG
WP4562	Canonical NF-kB pathway	2	8	1.69	0.48	0.0241	9606.ENSP00000275015,9606.ENSP00000483825	NFKBIE,IKBKG
WP4396	Nonalcoholic fatty liver disease	5	154	0.81	0.4	0.0263	9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000351908,9606.ENSP00000385675,9606.ENSP00000394560	BID,CASP8,MAP3K5,IL6,MAPK9
WP3937	Microglia pathogen phagocytosis pathway	3	40	1.17	0.44	0.0267	9606.ENSP00000356505,9606.ENSP00000380948,9606.ENSP00000496959	NCF2,ITGB2,ITGAM
WP4480	Altered glycosylation of MUC1 in tumor microenvironment	2	9	1.64	0.46	0.0267	9606.ENSP00000385675,9606.ENSP00000483825	IL6,IKBKG
WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	3	41	1.16	0.44	0.0271	9606.ENSP00000351273,9606.ENSP00000433138,9606.ENSP00000483825	CASP8,CASP1,IKBKG
WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	3	42	1.15	0.43	0.0283	9606.ENSP00000351273,9606.ENSP00000385675,9606.ENSP00000394560	CASP8,IL6,MAPK9
WP4658	Small cell lung cancer	4	95	0.92	0.41	0.0290	9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000386896,9606.ENSP00000483825	BID,CASP8,ITGA6,IKBKG
WP1971	Integrated cancer pathway	3	44	1.13	0.42	0.0305	9606.ENSP00000351273,9606.ENSP00000351908,9606.ENSP00000382805	CASP8,MAP3K5,BACH1
WP3929	Chemokine signaling pathway	5	165	0.78	0.39	0.0305	9606.ENSP00000267257,9606.ENSP00000296026,9606.ENSP00000363117,9606.ENSP00000367832,9606.ENSP00000483825	PXN,CXCL3,FGR,CCL7,IKBKG
WP75	Toll-like receptor signaling pathway	4	102	0.89	0.39	0.0348	9606.ENSP00000351273,9606.ENSP00000385675,9606.ENSP00000394560,9606.ENSP00000483825	CASP8,IL6,MAPK9,IKBKG
WP2513	Nanoparticle triggered regulated necrosis	2	12	1.52	0.42	0.0367	9606.ENSP00000351273,9606.ENSP00000355759	CASP8,PARP1
WP3611	Photodynamic therapy-induced AP-1 survival signaling	3	50	1.07	0.39	0.0397	9606.ENSP00000318822,9606.ENSP00000351908,9606.ENSP00000385675	BID,MAP3K5,IL6
