#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP2431	Spinal cord injury	5	115	0.93	0.43	0.0233	9606.ENSP00000275493,9606.ENSP00000285735,9606.ENSP00000379110,9606.ENSP00000383364,9606.ENSP00000385675	EGFR,RHOC,CXCL1,PLA2G2A,IL6
WP2643	Nanoparticle-mediated activation of receptor signaling	3	27	1.34	0.47	0.0233	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000500582	EGFR,SRC,AKT3
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.1	0.45	0.0233	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
WP3888	VEGFA-VEGFR2 signaling	9	428	0.62	0.38	0.0233	9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000327801,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000376367,9606.ENSP00000391592	HSPB1,RHOC,P4HB,PLA2G4A,NCF2,SRC,TXNDC5,WASF1,PTPN6
WP4155	Endometrial cancer	4	63	1.1	0.45	0.0233	9606.ENSP00000264498,9606.ENSP00000275493,9606.ENSP00000384849,9606.ENSP00000500582	FGF2,EGFR,CDKN1A,AKT3
WP4483	Relationship between inflammation, COX-2 and EGFR	3	25	1.37	0.47	0.0233	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000500582	EGFR,SRC,AKT3
WP4754	IL-18 signaling pathway	7	271	0.71	0.4	0.0233	9606.ENSP00000248553,9606.ENSP00000250160,9606.ENSP00000296026,9606.ENSP00000297350,9606.ENSP00000356505,9606.ENSP00000385675,9606.ENSP00000460236	HSPB1,CCN4,CXCL3,TNFRSF11B,NCF2,IL6,SPON1
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	4	66	1.08	0.45	0.0233	9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000379110,9606.ENSP00000385675	CXCL3,CXCL9,CXCL1,IL6
WP5072	Modulators of TCR signaling and T cell activation	4	61	1.11	0.45	0.0233	9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000378845,9606.ENSP00000391592	GRAP2,SH2B3,LAT,PTPN6
WP530	Cytokines and inflammatory response	3	26	1.36	0.47	0.0233	9606.ENSP00000263851,9606.ENSP00000379110,9606.ENSP00000385675	IL7,CXCL1,IL6
WP5088	Prostaglandin signaling	3	32	1.27	0.44	0.0271	9606.ENSP00000354901,9606.ENSP00000379110,9606.ENSP00000385675	CXCL9,CXCL1,IL6
WP4786	Type I collagen synthesis in the context of osteogenesis imperfecta	3	33	1.25	0.44	0.0281	9606.ENSP00000297350,9606.ENSP00000300026,9606.ENSP00000327801	TNFRSF11B,PPIB,P4HB
WP2828	Bladder cancer	3	39	1.18	0.39	0.0422	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000384849	EGFR,SRC,CDKN1A
WP3937	Microglia pathogen phagocytosis pathway	3	40	1.17	0.38	0.0434	9606.ENSP00000356505,9606.ENSP00000378845,9606.ENSP00000391592	NCF2,LAT,PTPN6
WP4746	Thyroid hormones production and peripheral downstream signaling effects	4	93	0.93	0.36	0.0463	9606.ENSP00000013125,9606.ENSP00000265052,9606.ENSP00000362680,9606.ENSP00000500582	MAP4K5,MGLL,SRC,AKT3
WP4136	Fibrin complement receptor 3 signaling pathway	3	43	1.14	0.37	0.0487	9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000385675	CXCL3,SRC,IL6
